GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
WL_GPIO0,EXT_GPIO0
WL_GPIO1,EXT_GPIO1
WL_GPIO2,EXT_GPIO2
RTC_ALARM,GPIO6
VBUS_DETECT,GPIO7
LED,GPIO8
EINK_BUSY,GPIO9
3V3_EN,GPIO10
BUTTON_DOWN,GPIO11
BUTTON_A,GPIO12
BUTTON_B,GPIO13
BUTTON_C,GPIO14
BUTTON_UP,GPIO15
EINK_CS,GPIO17
EINK_DC,GPIO20
EINK_RESET,GPIO21
USER_SW,GPIO22
VBAT_SENSE,GPIO26
VREF_POWER,GPIO27
VREF_1V24,GPIO28
